stimulus,subject_id,word_index,word_index_in_sentence,word,sentence,fixations_list,fixations_TRT
arg_pisarapanui_11_page_1,23,35,9.0,Nui,"Ea își va prezenta munca de teren din Rapa Nui, o insulă din Oceanul Pacific, la peste 3200 km vest de Chile.",[],0
arg_pisarapanui_11_page_1,23,36,10.0,o,"Ea își va prezenta munca de teren din Rapa Nui, o insulă din Oceanul Pacific, la peste 3200 km vest de Chile.",[],0
arg_pisarapanui_11_page_1,23,37,11.0,insulă,"Ea își va prezenta munca de teren din Rapa Nui, o insulă din Oceanul Pacific, la peste 3200 km vest de Chile.",[168],168
arg_pisarapanui_11_page_1,23,38,12.0,din,"Ea își va prezenta munca de teren din Rapa Nui, o insulă din Oceanul Pacific, la peste 3200 km vest de Chile.",[150],150
arg_pisarapanui_11_page_1,23,39,13.0,Oceanul,"Ea își va prezenta munca de teren din Rapa Nui, o insulă din Oceanul Pacific, la peste 3200 km vest de Chile.",[218],218
arg_pisarapanui_11_page_1,23,40,14.0,"Pacific,","Ea își va prezenta munca de teren din Rapa Nui, o insulă din Oceanul Pacific, la peste 3200 km vest de Chile.","[148, 162]",310
arg_pisarapanui_11_page_1,23,41,15.0,la,"Ea își va prezenta munca de teren din Rapa Nui, o insulă din Oceanul Pacific, la peste 3200 km vest de Chile.",[],0
arg_pisarapanui_11_page_1,23,42,16.0,peste,"Ea își va prezenta munca de teren din Rapa Nui, o insulă din Oceanul Pacific, la peste 3200 km vest de Chile.","[194, 192]",386
arg_pisarapanui_11_page_1,23,43,17.0,3200,"Ea își va prezenta munca de teren din Rapa Nui, o insulă din Oceanul Pacific, la peste 3200 km vest de Chile.",[188],188
arg_pisarapanui_11_page_1,23,44,18.0,km,"Ea își va prezenta munca de teren din Rapa Nui, o insulă din Oceanul Pacific, la peste 3200 km vest de Chile.",[224],224
arg_pisarapanui_11_page_1,23,45,19.0,vest,"Ea își va prezenta munca de teren din Rapa Nui, o insulă din Oceanul Pacific, la peste 3200 km vest de Chile.",[174],174
arg_pisarapanui_11_page_1,23,46,20.0,de,"Ea își va prezenta munca de teren din Rapa Nui, o insulă din Oceanul Pacific, la peste 3200 km vest de Chile.",[206],206
arg_pisarapanui_11_page_1,23,47,21.0,Chile.,"Ea își va prezenta munca de teren din Rapa Nui, o insulă din Oceanul Pacific, la peste 3200 km vest de Chile.","[200, 124]",324
arg_pisarapanui_11_page_10,23,0,0.0,www.recenziiacademice.ro/Colaps,www.recenziiacademice.ro/Colaps,"[206, 158, 194, 216, 138, 196]",1108
arg_pisarapanui_11_page_10,23,1,0.0,Recenzia,Recenzia volumului Colaps,"[256, 144]",400
arg_pisarapanui_11_page_10,23,2,1.0,volumului,Recenzia volumului Colaps,"[316, 170]",486
arg_pisarapanui_11_page_10,23,3,2.0,Colaps,Recenzia volumului Colaps,"[176, 306, 232]",714
arg_pisarapanui_11_page_11,23,0,0.0,Colaps,"Colaps, noua carte a lui Jared Diamond, reprezintă un avertisment clar cu privire la consecințele degradării mediului înconjurător.",[],0
arg_pisarapanui_11_page_11,23,1,1.0,noua,"Colaps, noua carte a lui Jared Diamond, reprezintă un avertisment clar cu privire la consecințele degradării mediului înconjurător.",[290],290
arg_pisarapanui_11_page_11,23,2,2.0,carte,"Colaps, noua carte a lui Jared Diamond, reprezintă un avertisment clar cu privire la consecințele degradării mediului înconjurător.",[156],156
arg_pisarapanui_11_page_11,23,3,3.0,a,"Colaps, noua carte a lui Jared Diamond, reprezintă un avertisment clar cu privire la consecințele degradării mediului înconjurător.",[176],176
arg_pisarapanui_11_page_11,23,4,4.0,lui,"Colaps, noua carte a lui Jared Diamond, reprezintă un avertisment clar cu privire la consecințele degradării mediului înconjurător.",[],0
arg_pisarapanui_11_page_11,23,5,5.0,Jared,"Colaps, noua carte a lui Jared Diamond, reprezintă un avertisment clar cu privire la consecințele degradării mediului înconjurător.",[158],158
arg_pisarapanui_11_page_11,23,6,6.0,"Diamond,","Colaps, noua carte a lui Jared Diamond, reprezintă un avertisment clar cu privire la consecințele degradării mediului înconjurător.",[200],200
arg_pisarapanui_11_page_11,23,7,7.0,reprezintă,"Colaps, noua carte a lui Jared Diamond, reprezintă un avertisment clar cu privire la consecințele degradării mediului înconjurător.",[226],226
arg_pisarapanui_11_page_11,23,8,8.0,un,"Colaps, noua carte a lui Jared Diamond, reprezintă un avertisment clar cu privire la consecințele degradării mediului înconjurător.",[],0
arg_pisarapanui_11_page_11,23,9,9.0,avertisment,"Colaps, noua carte a lui Jared Diamond, reprezintă un avertisment clar cu privire la consecințele degradării mediului înconjurător.",[278],278
arg_pisarapanui_11_page_11,23,10,10.0,clar,"Colaps, noua carte a lui Jared Diamond, reprezintă un avertisment clar cu privire la consecințele degradării mediului înconjurător.",[],0
arg_pisarapanui_11_page_11,23,11,11.0,cu,"Colaps, noua carte a lui Jared Diamond, reprezintă un avertisment clar cu privire la consecințele degradării mediului înconjurător.",[204],204
arg_pisarapanui_11_page_11,23,12,12.0,privire,"Colaps, noua carte a lui Jared Diamond, reprezintă un avertisment clar cu privire la consecințele degradării mediului înconjurător.",[],0
arg_pisarapanui_11_page_11,23,13,13.0,la,"Colaps, noua carte a lui Jared Diamond, reprezintă un avertisment clar cu privire la consecințele degradării mediului înconjurător.",[],0
arg_pisarapanui_11_page_11,23,14,14.0,consecințele,"Colaps, noua carte a lui Jared Diamond, reprezintă un avertisment clar cu privire la consecințele degradării mediului înconjurător.",[],0
arg_pisarapanui_11_page_11,23,15,15.0,degradării,"Colaps, noua carte a lui Jared Diamond, reprezintă un avertisment clar cu privire la consecințele degradării mediului înconjurător.",[300],300
arg_pisarapanui_11_page_11,23,16,16.0,mediului,"Colaps, noua carte a lui Jared Diamond, reprezintă un avertisment clar cu privire la consecințele degradării mediului înconjurător.",[280],280
arg_pisarapanui_11_page_11,23,17,17.0,înconjurător.,"Colaps, noua carte a lui Jared Diamond, reprezintă un avertisment clar cu privire la consecințele degradării mediului înconjurător.","[300, 100]",400
arg_pisarapanui_11_page_11,23,18,0.0,Autorul,"Autorul descrie în carte mai multe civilizații care au ajuns în colaps, din cauza alegerilor pe care le-au făcut și al impactului acestora asupra mediului.",[244],244
arg_pisarapanui_11_page_11,23,19,1.0,descrie,"Autorul descrie în carte mai multe civilizații care au ajuns în colaps, din cauza alegerilor pe care le-au făcut și al impactului acestora asupra mediului.",[236],236
arg_pisarapanui_11_page_11,23,20,2.0,în,"Autorul descrie în carte mai multe civilizații care au ajuns în colaps, din cauza alegerilor pe care le-au făcut și al impactului acestora asupra mediului.",[],0
arg_pisarapanui_11_page_11,23,21,3.0,carte,"Autorul descrie în carte mai multe civilizații care au ajuns în colaps, din cauza alegerilor pe care le-au făcut și al impactului acestora asupra mediului.",[284],284
arg_pisarapanui_11_page_11,23,22,4.0,mai,"Autorul descrie în carte mai multe civilizații care au ajuns în colaps, din cauza alegerilor pe care le-au făcut și al impactului acestora asupra mediului.",[],0
arg_pisarapanui_11_page_11,23,23,5.0,multe,"Autorul descrie în carte mai multe civilizații care au ajuns în colaps, din cauza alegerilor pe care le-au făcut și al impactului acestora asupra mediului.",[],0
arg_pisarapanui_11_page_11,23,24,6.0,civilizații,"Autorul descrie în carte mai multe civilizații care au ajuns în colaps, din cauza alegerilor pe care le-au făcut și al impactului acestora asupra mediului.","[180, 182]",362
arg_pisarapanui_11_page_11,23,25,7.0,care,"Autorul descrie în carte mai multe civilizații care au ajuns în colaps, din cauza alegerilor pe care le-au făcut și al impactului acestora asupra mediului.",[],0
arg_pisarapanui_11_page_11,23,26,8.0,au,"Autorul descrie în carte mai multe civilizații care au ajuns în colaps, din cauza alegerilor pe care le-au făcut și al impactului acestora asupra mediului.",[],0
arg_pisarapanui_11_page_11,23,27,9.0,ajuns,"Autorul descrie în carte mai multe civilizații care au ajuns în colaps, din cauza alegerilor pe care le-au făcut și al impactului acestora asupra mediului.",[134],134
arg_pisarapanui_11_page_11,23,28,10.0,în,"Autorul descrie în carte mai multe civilizații care au ajuns în colaps, din cauza alegerilor pe care le-au făcut și al impactului acestora asupra mediului.",[],0
arg_pisarapanui_11_page_11,23,29,11.0,"colaps,","Autorul descrie în carte mai multe civilizații care au ajuns în colaps, din cauza alegerilor pe care le-au făcut și al impactului acestora asupra mediului.",[328],328
arg_pisarapanui_11_page_11,23,30,12.0,din,"Autorul descrie în carte mai multe civilizații care au ajuns în colaps, din cauza alegerilor pe care le-au făcut și al impactului acestora asupra mediului.",[],0
arg_pisarapanui_11_page_11,23,31,13.0,cauza,"Autorul descrie în carte mai multe civilizații care au ajuns în colaps, din cauza alegerilor pe care le-au făcut și al impactului acestora asupra mediului.",[194],194
arg_pisarapanui_11_page_11,23,32,14.0,alegerilor,"Autorul descrie în carte mai multe civilizații care au ajuns în colaps, din cauza alegerilor pe care le-au făcut și al impactului acestora asupra mediului.","[342, 210, 154, 150]",856
arg_pisarapanui_11_page_11,23,33,15.0,pe,"Autorul descrie în carte mai multe civilizații care au ajuns în colaps, din cauza alegerilor pe care le-au făcut și al impactului acestora asupra mediului.",[],0
arg_pisarapanui_11_page_11,23,34,16.0,care,"Autorul descrie în carte mai multe civilizații care au ajuns în colaps, din cauza alegerilor pe care le-au făcut și al impactului acestora asupra mediului.",[202],202
arg_pisarapanui_11_page_11,23,35,17.0,le-au,"Autorul descrie în carte mai multe civilizații care au ajuns în colaps, din cauza alegerilor pe care le-au făcut și al impactului acestora asupra mediului.",[],0
arg_pisarapanui_11_page_11,23,36,18.0,făcut,"Autorul descrie în carte mai multe civilizații care au ajuns în colaps, din cauza alegerilor pe care le-au făcut și al impactului acestora asupra mediului.",[],0
arg_pisarapanui_11_page_11,23,37,19.0,și,"Autorul descrie în carte mai multe civilizații care au ajuns în colaps, din cauza alegerilor pe care le-au făcut și al impactului acestora asupra mediului.",[182],182
arg_pisarapanui_11_page_11,23,38,20.0,al,"Autorul descrie în carte mai multe civilizații care au ajuns în colaps, din cauza alegerilor pe care le-au făcut și al impactului acestora asupra mediului.",[],0
arg_pisarapanui_11_page_11,23,39,21.0,impactului,"Autorul descrie în carte mai multe civilizații care au ajuns în colaps, din cauza alegerilor pe care le-au făcut și al impactului acestora asupra mediului.","[190, 154]",344
arg_pisarapanui_11_page_11,23,40,22.0,acestora,"Autorul descrie în carte mai multe civilizații care au ajuns în colaps, din cauza alegerilor pe care le-au făcut și al impactului acestora asupra mediului.",[226],226
arg_pisarapanui_11_page_11,23,41,23.0,asupra,"Autorul descrie în carte mai multe civilizații care au ajuns în colaps, din cauza alegerilor pe care le-au făcut și al impactului acestora asupra mediului.",[],0
arg_pisarapanui_11_page_11,23,42,24.0,mediului.,"Autorul descrie în carte mai multe civilizații care au ajuns în colaps, din cauza alegerilor pe care le-au făcut și al impactului acestora asupra mediului.","[220, 148]",368
arg_pisarapanui_11_page_11,23,43,0.0,Rapa,Rapa Nui este unul dintre exemplele cele mai tulburătoare din volum.,[],0
arg_pisarapanui_11_page_11,23,44,1.0,Nui,Rapa Nui este unul dintre exemplele cele mai tulburătoare din volum.,[192],192
arg_pisarapanui_11_page_11,23,45,2.0,este,Rapa Nui este unul dintre exemplele cele mai tulburătoare din volum.,[128],128
arg_pisarapanui_11_page_11,23,46,3.0,unul,Rapa Nui este unul dintre exemplele cele mai tulburătoare din volum.,[198],198
arg_pisarapanui_11_page_11,23,47,4.0,dintre,Rapa Nui este unul dintre exemplele cele mai tulburătoare din volum.,[168],168
arg_pisarapanui_11_page_11,23,48,5.0,exemplele,Rapa Nui este unul dintre exemplele cele mai tulburătoare din volum.,[232],232
arg_pisarapanui_11_page_11,23,49,6.0,cele,Rapa Nui este unul dintre exemplele cele mai tulburătoare din volum.,[],0
arg_pisarapanui_11_page_11,23,50,7.0,mai,Rapa Nui este unul dintre exemplele cele mai tulburătoare din volum.,"[116, 216]",332
arg_pisarapanui_11_page_11,23,51,8.0,tulburătoare,Rapa Nui este unul dintre exemplele cele mai tulburătoare din volum.,[238],238
arg_pisarapanui_11_page_11,23,52,9.0,din,Rapa Nui este unul dintre exemplele cele mai tulburătoare din volum.,[],0
arg_pisarapanui_11_page_11,23,53,10.0,volum.,Rapa Nui este unul dintre exemplele cele mai tulburătoare din volum.,[346],346
arg_pisarapanui_11_page_12,23,0,0.0,Potrivit,"Potrivit autorului, Rapa Nui a început să fie locuită de polinezieni pe la 700 e.n.",[],0
arg_pisarapanui_11_page_12,23,1,1.0,"autorului,","Potrivit autorului, Rapa Nui a început să fie locuită de polinezieni pe la 700 e.n.",[192],192
arg_pisarapanui_11_page_12,23,2,2.0,Rapa,"Potrivit autorului, Rapa Nui a început să fie locuită de polinezieni pe la 700 e.n.",[],0
arg_pisarapanui_11_page_12,23,3,3.0,Nui,"Potrivit autorului, Rapa Nui a început să fie locuită de polinezieni pe la 700 e.n.",[],0
arg_pisarapanui_11_page_12,23,4,4.0,a,"Potrivit autorului, Rapa Nui a început să fie locuită de polinezieni pe la 700 e.n.",[118],118
arg_pisarapanui_11_page_12,23,5,5.0,început,"Potrivit autorului, Rapa Nui a început să fie locuită de polinezieni pe la 700 e.n.",[194],194
arg_pisarapanui_11_page_12,23,6,6.0,să,"Potrivit autorului, Rapa Nui a început să fie locuită de polinezieni pe la 700 e.n.",[],0
arg_pisarapanui_11_page_12,23,7,7.0,fie,"Potrivit autorului, Rapa Nui a început să fie locuită de polinezieni pe la 700 e.n.",[],0
arg_pisarapanui_11_page_12,23,8,8.0,locuită,"Potrivit autorului, Rapa Nui a început să fie locuită de polinezieni pe la 700 e.n.","[194, 116]",310
arg_pisarapanui_11_page_12,23,9,9.0,de,"Potrivit autorului, Rapa Nui a început să fie locuită de polinezieni pe la 700 e.n.",[],0
arg_pisarapanui_11_page_12,23,10,10.0,polinezieni,"Potrivit autorului, Rapa Nui a început să fie locuită de polinezieni pe la 700 e.n.",[228],228
arg_pisarapanui_11_page_12,23,11,11.0,pe,"Potrivit autorului, Rapa Nui a început să fie locuită de polinezieni pe la 700 e.n.",[],0
arg_pisarapanui_11_page_12,23,12,12.0,la,"Potrivit autorului, Rapa Nui a început să fie locuită de polinezieni pe la 700 e.n.",[],0
arg_pisarapanui_11_page_12,23,13,13.0,700,"Potrivit autorului, Rapa Nui a început să fie locuită de polinezieni pe la 700 e.n.",[],0
arg_pisarapanui_11_page_12,23,14,14.0,e.n,"Potrivit autorului, Rapa Nui a început să fie locuită de polinezieni pe la 700 e.n.",[],0
arg_pisarapanui_11_page_12,23,15,0.0,S-a,S-a dezvoltat astfel o civilizație înfloritoare de aproape 15000 de locuitori.,[],0
arg_pisarapanui_11_page_12,23,16,1.0,dezvoltat,S-a dezvoltat astfel o civilizație înfloritoare de aproape 15000 de locuitori.,"[106, 286]",392
arg_pisarapanui_11_page_12,23,17,2.0,astfel,S-a dezvoltat astfel o civilizație înfloritoare de aproape 15000 de locuitori.,"[202, 198]",400
arg_pisarapanui_11_page_12,23,18,3.0,o,S-a dezvoltat astfel o civilizație înfloritoare de aproape 15000 de locuitori.,[],0
arg_pisarapanui_11_page_12,23,19,4.0,civilizație,S-a dezvoltat astfel o civilizație înfloritoare de aproape 15000 de locuitori.,[254],254
arg_pisarapanui_11_page_12,23,20,5.0,înfloritoare,S-a dezvoltat astfel o civilizație înfloritoare de aproape 15000 de locuitori.,[236],236
arg_pisarapanui_11_page_12,23,21,6.0,de,S-a dezvoltat astfel o civilizație înfloritoare de aproape 15000 de locuitori.,[],0
arg_pisarapanui_11_page_12,23,22,7.0,aproape,S-a dezvoltat astfel o civilizație înfloritoare de aproape 15000 de locuitori.,[110],110
arg_pisarapanui_11_page_12,23,23,8.0,15000,S-a dezvoltat astfel o civilizație înfloritoare de aproape 15000 de locuitori.,[],0
arg_pisarapanui_11_page_12,23,24,9.0,de,S-a dezvoltat astfel o civilizație înfloritoare de aproape 15000 de locuitori.,[],0
arg_pisarapanui_11_page_12,23,25,10.0,locuitori.,S-a dezvoltat astfel o civilizație înfloritoare de aproape 15000 de locuitori.,[210],210
arg_pisarapanui_11_page_12,23,26,0.0,Au,"Au sculptat statuile faimoase, moai-i, apoi au folosit resursele naturale la îndemână pentru a le deplasa în diferite locuri de pe insulă.",[],0
arg_pisarapanui_11_page_12,23,27,1.0,sculptat,"Au sculptat statuile faimoase, moai-i, apoi au folosit resursele naturale la îndemână pentru a le deplasa în diferite locuri de pe insulă.",[198],198
arg_pisarapanui_11_page_12,23,28,2.0,statuile,"Au sculptat statuile faimoase, moai-i, apoi au folosit resursele naturale la îndemână pentru a le deplasa în diferite locuri de pe insulă.",[164],164
arg_pisarapanui_11_page_12,23,29,3.0,"faimoase,","Au sculptat statuile faimoase, moai-i, apoi au folosit resursele naturale la îndemână pentru a le deplasa în diferite locuri de pe insulă.",[184],184
arg_pisarapanui_11_page_12,23,30,4.0,"moai-i,","Au sculptat statuile faimoase, moai-i, apoi au folosit resursele naturale la îndemână pentru a le deplasa în diferite locuri de pe insulă.",[428],428
arg_pisarapanui_11_page_12,23,31,5.0,apoi,"Au sculptat statuile faimoase, moai-i, apoi au folosit resursele naturale la îndemână pentru a le deplasa în diferite locuri de pe insulă.",[],0
arg_pisarapanui_11_page_12,23,32,6.0,au,"Au sculptat statuile faimoase, moai-i, apoi au folosit resursele naturale la îndemână pentru a le deplasa în diferite locuri de pe insulă.",[192],192
arg_pisarapanui_11_page_12,23,33,7.0,folosit,"Au sculptat statuile faimoase, moai-i, apoi au folosit resursele naturale la îndemână pentru a le deplasa în diferite locuri de pe insulă.","[204, 260]",464
arg_pisarapanui_11_page_12,23,34,8.0,resursele,"Au sculptat statuile faimoase, moai-i, apoi au folosit resursele naturale la îndemână pentru a le deplasa în diferite locuri de pe insulă.",[296],296
arg_pisarapanui_11_page_12,23,35,9.0,naturale,"Au sculptat statuile faimoase, moai-i, apoi au folosit resursele naturale la îndemână pentru a le deplasa în diferite locuri de pe insulă.",[258],258
arg_pisarapanui_11_page_12,23,36,10.0,la,"Au sculptat statuile faimoase, moai-i, apoi au folosit resursele naturale la îndemână pentru a le deplasa în diferite locuri de pe insulă.",[],0
arg_pisarapanui_11_page_12,23,37,11.0,îndemână,"Au sculptat statuile faimoase, moai-i, apoi au folosit resursele naturale la îndemână pentru a le deplasa în diferite locuri de pe insulă.","[246, 268]",514
arg_pisarapanui_11_page_12,23,38,12.0,pentru,"Au sculptat statuile faimoase, moai-i, apoi au folosit resursele naturale la îndemână pentru a le deplasa în diferite locuri de pe insulă.",[],0
arg_pisarapanui_11_page_12,23,39,13.0,a,"Au sculptat statuile faimoase, moai-i, apoi au folosit resursele naturale la îndemână pentru a le deplasa în diferite locuri de pe insulă.",[],0
arg_pisarapanui_11_page_12,23,40,14.0,le,"Au sculptat statuile faimoase, moai-i, apoi au folosit resursele naturale la îndemână pentru a le deplasa în diferite locuri de pe insulă.",[],0
arg_pisarapanui_11_page_12,23,41,15.0,deplasa,"Au sculptat statuile faimoase, moai-i, apoi au folosit resursele naturale la îndemână pentru a le deplasa în diferite locuri de pe insulă.","[162, 164, 348]",674
arg_pisarapanui_11_page_12,23,42,16.0,în,"Au sculptat statuile faimoase, moai-i, apoi au folosit resursele naturale la îndemână pentru a le deplasa în diferite locuri de pe insulă.",[],0
arg_pisarapanui_11_page_12,23,43,17.0,diferite,"Au sculptat statuile faimoase, moai-i, apoi au folosit resursele naturale la îndemână pentru a le deplasa în diferite locuri de pe insulă.","[230, 148, 160]",538
arg_pisarapanui_11_page_12,23,44,18.0,locuri,"Au sculptat statuile faimoase, moai-i, apoi au folosit resursele naturale la îndemână pentru a le deplasa în diferite locuri de pe insulă.",[],0
arg_pisarapanui_11_page_12,23,45,19.0,de,"Au sculptat statuile faimoase, moai-i, apoi au folosit resursele naturale la îndemână pentru a le deplasa în diferite locuri de pe insulă.",[168],168
arg_pisarapanui_11_page_12,23,46,20.0,pe,"Au sculptat statuile faimoase, moai-i, apoi au folosit resursele naturale la îndemână pentru a le deplasa în diferite locuri de pe insulă.",[],0
arg_pisarapanui_11_page_12,23,47,21.0,insulă.,"Au sculptat statuile faimoase, moai-i, apoi au folosit resursele naturale la îndemână pentru a le deplasa în diferite locuri de pe insulă.",[222],222
arg_pisarapanui_11_page_12,23,48,0.0,Când,"Când au debarcat primii europeni pe insulă în 1722, statuile erau încă acolo, dar arborii dispăruseră.",[],0
arg_pisarapanui_11_page_12,23,49,1.0,au,"Când au debarcat primii europeni pe insulă în 1722, statuile erau încă acolo, dar arborii dispăruseră.",[134],134
arg_pisarapanui_11_page_12,23,50,2.0,debarcat,"Când au debarcat primii europeni pe insulă în 1722, statuile erau încă acolo, dar arborii dispăruseră.",[262],262
arg_pisarapanui_11_page_12,23,51,3.0,primii,"Când au debarcat primii europeni pe insulă în 1722, statuile erau încă acolo, dar arborii dispăruseră.",[322],322
arg_pisarapanui_11_page_12,23,52,4.0,europeni,"Când au debarcat primii europeni pe insulă în 1722, statuile erau încă acolo, dar arborii dispăruseră.",[218],218
arg_pisarapanui_11_page_12,23,53,5.0,pe,"Când au debarcat primii europeni pe insulă în 1722, statuile erau încă acolo, dar arborii dispăruseră.",[],0
arg_pisarapanui_11_page_12,23,54,6.0,insulă,"Când au debarcat primii europeni pe insulă în 1722, statuile erau încă acolo, dar arborii dispăruseră.",[280],280
arg_pisarapanui_11_page_12,23,55,7.0,în,"Când au debarcat primii europeni pe insulă în 1722, statuile erau încă acolo, dar arborii dispăruseră.",[],0
arg_pisarapanui_11_page_12,23,56,8.0,"1722,","Când au debarcat primii europeni pe insulă în 1722, statuile erau încă acolo, dar arborii dispăruseră.",[270],270
arg_pisarapanui_11_page_12,23,57,9.0,statuile,"Când au debarcat primii europeni pe insulă în 1722, statuile erau încă acolo, dar arborii dispăruseră.",[],0
arg_pisarapanui_11_page_12,23,58,10.0,erau,"Când au debarcat primii europeni pe insulă în 1722, statuile erau încă acolo, dar arborii dispăruseră.",[],0
arg_pisarapanui_11_page_12,23,59,11.0,încă,"Când au debarcat primii europeni pe insulă în 1722, statuile erau încă acolo, dar arborii dispăruseră.",[],0
arg_pisarapanui_11_page_12,23,60,12.0,acolo,"Când au debarcat primii europeni pe insulă în 1722, statuile erau încă acolo, dar arborii dispăruseră.",[],0
arg_pisarapanui_11_page_12,23,61,13.0,dar,"Când au debarcat primii europeni pe insulă în 1722, statuile erau încă acolo, dar arborii dispăruseră.",[],0
arg_pisarapanui_11_page_12,23,62,14.0,arborii,"Când au debarcat primii europeni pe insulă în 1722, statuile erau încă acolo, dar arborii dispăruseră.",[],0
arg_pisarapanui_11_page_12,23,63,15.0,dispăruseră.,"Când au debarcat primii europeni pe insulă în 1722, statuile erau încă acolo, dar arborii dispăruseră.","[252, 106]",358
arg_pisarapanui_11_page_13,23,0,0.0,Insula,"Insula mai avea atunci doar câteva mii de locuitori, care se luptau să supraviețuiască.",[],0
